# name: 오은석 최이안
# student_id: 1111
# mouse_id: f1
# video: f1_epm.mp4
frame,timestamp_s,x,y,area
303,10.128,761,550,3200
308,10.295,707,553,3219
313,10.462,665,553,2988
318,10.629,614,553,3173
323,10.796,566,553,3076
328,10.964,521,554,2837
333,11.131,512,556,2457
338,11.298,509,559,2682
343,11.465,495,558,3338
348,11.632,528,555,1848
353,11.799,504,556,1823
358,11.966,467,559,1225
363,12.133,473,555,1030
368,12.301,443,549,3219
373,12.468,452,550,2985
378,12.635,469,558,3317
383,12.802,493,561,2113
388,12.969,481,549,1077
393,13.136,475,557,1240
398,13.303,516,563,525
403,13.470,558,560,750
408,13.638,582,554,304
423,14.139,646,555,840
428,14.306,713,557,848
433,14.473,771,553,1372
438,14.640,811,556,2045
443,14.807,870,556,3047
448,14.975,900,563,3362
453,15.142,902,563,3588
458,15.309,901,564,3720
463,15.476,900,565,3644
468,15.643,904,564,3631
473,15.810,910,562,3757
478,15.977,912,560,3702
483,16.145,908,559,3665
488,16.312,904,561,3662
493,16.479,910,569,3814
498,16.646,916,585,4000
503,16.813,917,597,4274
508,16.980,917,593,5665
513,17.147,907,603,5951
518,17.314,903,595,6641
523,17.482,902,593,6284
528,17.649,904,604,6741
533,17.816,906,625,6564
538,17.983,907,614,6801
543,18.150,910,602,6407
548,18.317,927,605,9205
553,18.484,930,596,9656
558,18.651,929,590,10051
563,18.819,929,590,9734
568,18.986,914,607,5845
573,19.153,906,600,5813
578,19.320,903,603,4810
583,19.487,901,599,4756
588,19.654,902,608,4004
593,19.821,911,618,4729
598,19.988,919,607,7092
603,20.156,928,591,9573
608,20.323,928,595,8361
613,20.490,929,590,8444
618,20.657,929,585,8764
623,20.824,927,575,8761
628,20.991,928,578,7448
633,21.158,927,571,8812
638,21.325,927,581,8437
643,21.493,928,580,8926
648,21.660,920,592,6372
653,21.827,914,608,5516
658,21.994,908,627,5363
663,22.161,909,626,5541
668,22.328,909,607,5117
673,22.495,907,597,4834
678,22.662,906,598,4535
683,22.830,906,607,4267
688,22.997,914,598,4502
693,23.164,931,573,7993
698,23.331,932,578,6888
703,23.498,933,575,6628
708,23.665,933,577,6632
713,23.832,932,574,7243
718,23.999,926,572,8188
723,24.167,918,573,6750
728,24.334,924,566,6568
733,24.501,923,559,6006
738,24.668,926,537,6288
743,24.835,923,508,5930
748,25.002,924,475,6053
753,25.169,924,443,6358
758,25.337,924,433,6004
763,25.504,925,432,5647
768,25.671,923,426,6020
773,25.838,913,400,5804
778,26.005,911,387,5115
783,26.172,911,392,4554
788,26.339,910,394,4132
793,26.506,910,392,4043
798,26.674,914,392,5298
