# name: 임아름 이태훈
# student_id: 1111
# mouse_id: f2
# video: f2_epm.mp4
frame,timestamp_s,x,y,area
437,14.607,915,556,145648
442,14.774,899,660,433
447,14.941,905,650,396
452,15.108,901,744,438
462,15.442,925,637,552
467,15.609,939,633,1791
477,15.944,912,750,821
482,16.111,918,763,469
487,16.278,941,737,1625
492,16.445,947,725,1953
497,16.612,906,722,361
517,17.281,947,761,409
522,17.448,946,774,637
527,17.615,945,774,547
532,17.782,921,615,302
537,17.949,911,608,495
567,18.952,922,683,367
572,19.119,922,683,349
577,19.286,923,683,317
592,19.788,938,626,1157
597,19.955,934,620,1793
602,20.122,924,617,1743
607,20.289,910,599,2842
612,20.456,913,599,3140
617,20.623,921,599,3330
622,20.790,924,601,2429
627,20.957,926,598,2158
632,21.125,933,591,1468
637,21.292,941,591,989
642,21.459,942,590,935
647,21.626,946,589,690
652,21.793,950,583,528
657,21.960,932,569,1694
662,22.127,935,555,2717
667,22.295,925,542,4904
672,22.462,925,535,5491
677,22.629,925,544,4676
682,22.796,925,536,4979
687,22.963,926,534,5039
692,23.130,928,532,4888
697,23.297,924,528,5067
702,23.464,923,533,4548
707,23.632,925,533,4378
712,23.799,926,527,3736
717,23.966,925,512,3750
722,24.133,917,503,2841
727,24.300,905,504,3294
732,24.467,905,507,3471
737,24.634,903,505,2967
742,24.801,901,509,2078
747,24.969,899,514,2045
752,25.136,898,513,1875
757,25.303,898,513,1865
762,25.470,899,509,1681
767,25.637,898,505,1823
772,25.804,908,496,1916
777,25.971,925,483,2639
782,26.138,936,477,1883
787,26.306,938,477,1453
792,26.473,942,481,759
797,26.640,945,487,679
802,26.807,944,486,584
807,26.974,944,479,710
812,27.141,911,488,1221
817,27.308,903,492,1766
822,27.475,900,493,1482
827,27.643,898,499,1451
832,27.810,895,502,1041
837,27.977,894,507,642
842,28.144,892,508,494
847,28.311,887,492,307
857,28.645,910,480,1265
862,28.812,950,486,337
867,28.980,919,552,565
872,29.147,919,552,583
877,29.314,922,549,415
882,29.481,924,544,310
887,29.648,918,554,444
892,29.815,924,543,337
897,29.982,895,533,785
902,30.149,889,535,1502
907,30.317,884,546,1847
912,30.484,882,552,1338
917,30.651,882,550,1412
922,30.818,899,563,2085
927,30.985,916,589,772
937,31.319,946,621,338
942,31.486,947,620,344
962,32.155,890,620,438
967,32.322,890,621,433
972,32.489,949,616,327
982,32.823,949,629,392
992,33.158,946,681,611
997,33.325,947,667,790
1002,33.492,948,679,525
1007,33.659,949,665,717
1012,33.826,955,677,314
1017,33.993,945,739,696
1022,34.160,935,754,2121
1027,34.328,923,765,3988
1032,34.495,917,752,6886
1037,34.662,914,752,6369
1042,34.829,929,771,3896
1047,34.996,934,746,5553
1052,35.163,934,766,4349
1057,35.330,932,759,4298
1062,35.497,934,737,4711
1067,35.665,934,734,4824
1072,35.832,932,754,3574
1077,35.999,933,773,5078
1082,36.166,937,807,6811
1087,36.333,930,811,9587
1092,36.500,933,828,8750
1097,36.667,936,836,8644
1102,36.834,937,834,7642
1107,37.002,937,828,8188
1112,37.169,938,826,7373
1117,37.336,937,825,7415
1122,37.503,937,827,7624
1127,37.670,937,848,8954
1132,37.837,933,864,9800
1137,38.004,930,876,11007
1142,38.171,928,896,10100
1147,38.339,925,877,10907
1152,38.506,924,872,11531
1157,38.673,923,875,11471
1162,38.840,922,870,11195
1167,39.007,934,872,7924
1172,39.174,935,863,8372
1177,39.341,935,858,7912
1182,39.508,934,840,8487
1187,39.676,934,849,7530
1192,39.843,934,846,7549
1197,40.010,928,849,9033
1202,40.177,923,847,9110
1207,40.344,922,829,8130
1212,40.511,922,805,7615
1217,40.678,918,786,5923
