# name: 김윤서 신정안
# student_id: 1111
# mouse_id: f3
# video: f3_epm.mp4
frame,timestamp_s,x,y,area
401,13.404,932,465,3856
406,13.571,932,447,4208
411,13.738,929,417,4825
416,13.905,927,398,4837
421,14.072,923,395,4724
426,14.239,920,371,4218
431,14.406,917,376,3870
436,14.573,915,378,3691
441,14.741,914,381,3553
446,14.908,916,381,3838
451,15.075,918,376,4098
456,15.242,918,350,4240
461,15.409,914,329,4553
466,15.576,913,312,4694
471,15.743,915,305,4736
476,15.910,924,313,4568
481,16.078,926,295,4616
486,16.245,924,287,4335
491,16.412,929,273,4402
496,16.579,929,269,4539
501,16.746,924,291,4044
506,16.913,922,302,3636
511,17.080,925,307,3298
516,17.247,927,307,2978
521,17.415,928,307,2948
526,17.582,927,308,3005
531,17.749,927,309,3041
536,17.916,924,312,3992
541,18.083,924,289,4317
546,18.250,924,244,4383
551,18.417,927,217,4173
556,18.584,913,200,4449
561,18.752,911,194,4150
566,18.919,911,190,3386
571,19.086,911,191,3520
576,19.253,913,194,3363
581,19.420,913,198,3405
586,19.587,915,197,3954
591,19.754,915,195,4285
596,19.921,920,162,4410
601,20.089,916,123,4329
606,20.256,918,114,4048
611,20.423,919,110,3851
616,20.590,918,111,3882
621,20.757,912,109,3996
626,20.924,910,111,3912
631,21.091,911,111,3840
636,21.258,909,112,3688
641,21.426,913,120,3669
646,21.593,922,113,3743
651,21.760,926,110,3631
656,21.927,927,105,3295
661,22.094,927,107,3200
666,22.261,927,111,3340
671,22.428,924,118,3312
676,22.595,926,118,3084
681,22.763,926,118,3140
686,22.930,924,125,3319
691,23.097,925,125,3944
696,23.264,915,120,4025
701,23.431,912,105,3671
706,23.598,916,106,3864
711,23.765,916,109,3993
716,23.932,915,116,3583
721,24.100,912,119,3189
726,24.267,912,120,3136
731,24.434,911,120,3087
736,24.601,913,120,3242
741,24.768,914,120,3325
746,24.935,914,121,3357
751,25.102,917,121,3606
756,25.269,916,139,3479
761,25.437,918,157,3552
766,25.604,918,170,3964
771,25.771,929,180,3683
776,25.938,933,215,4065
781,26.105,937,240,3540
786,26.272,937,245,3329
791,26.439,937,257,3350
796,26.606,930,292,3779
801,26.774,930,331,3747
806,26.941,929,367,3747
811,27.108,936,401,4033
816,27.275,936,415,3475
821,27.442,936,411,3189
826,27.609,937,410,3334
831,27.776,937,418,3664
836,27.943,938,422,3511
841,28.111,939,428,4009
846,28.278,934,440,4122
851,28.445,929,455,4140
856,28.612,927,463,4313
861,28.779,928,459,3810
866,28.946,925,457,3814
871,29.113,928,466,3673
876,29.280,929,480,3820
881,29.448,935,513,3845
886,29.615,939,532,3753
891,29.782,937,566,3692
896,29.949,941,590,3124
901,30.116,935,586,707
906,30.283,931,579,503
911,30.450,934,588,696
916,30.617,948,667,431
921,30.785,929,652,1131
926,30.952,920,680,1382
931,31.119,908,727,470
936,31.286,903,750,378
941,31.453,922,750,319
946,31.620,943,767,377
961,32.122,950,796,330
966,32.289,915,795,409
971,32.456,906,836,486
986,32.957,922,884,883
991,33.124,923,905,555
1051,35.130,923,999,605
1056,35.297,916,1006,767
1061,35.464,915,1002,1091
1066,35.631,915,1001,1138
1071,35.798,918,999,913
1076,35.966,924,1008,621
1081,36.133,929,1018,359
1086,36.300,927,1022,716
1091,36.467,926,1030,339
1096,36.634,926,1017,657
1101,36.801,941,1020,658
1106,36.968,943,1013,765
1111,37.135,944,1008,728
1116,37.303,944,1008,816
1121,37.470,942,1006,642
1131,37.804,939,1014,738
1136,37.971,929,1012,573
1141,38.138,923,1008,923
1146,38.305,920,1005,1049
1151,38.472,918,1003,986
1156,38.640,933,991,620
1161,38.807,932,999,540
1166,38.974,940,1001,727
1171,39.141,945,1002,728
1176,39.308,948,1001,685
1181,39.475,948,1001,680
1186,39.642,950,1003,434
1191,39.809,949,1001,457
1196,39.977,942,986,614
1201,40.144,937,971,683
1206,40.311,933,954,628
1211,40.478,926,940,589
1216,40.645,926,938,792
1316,43.988,930,699,566
1321,44.155,931,683,723
1326,44.322,926,638,776
1331,44.489,943,543,634
1336,44.656,929,545,1889
1341,44.823,928,546,2172
1346,44.990,923,524,2789
1351,45.157,930,538,1971
1356,45.325,928,529,1175
1361,45.492,935,478,1412
1366,45.659,934,402,2620
1371,45.826,931,367,2777
1376,45.993,928,352,3469
1381,46.160,925,355,3460
1386,46.327,924,355,3499
1391,46.494,936,369,2449
1396,46.662,937,349,2924
1401,46.829,937,342,3312
1406,46.996,934,365,2736
1411,47.163,921,347,3008
1416,47.330,920,348,2925
1421,47.497,919,350,2940
1426,47.664,921,356,2843
1431,47.831,923,369,3199
1436,47.999,927,394,3281
1441,48.166,932,414,3364
1446,48.333,933,417,3221
1451,48.500,932,439,3266
1456,48.667,936,465,2558
1461,48.834,934,460,2233
1466,49.001,936,438,782
1471,49.168,933,432,816
1476,49.336,930,471,2629
1481,49.503,929,518,2849
1486,49.670,928,564,2332
1561,52.177,930,991,365
1591,53.180,922,1015,355
1596,53.347,911,1011,758
1601,53.514,909,1012,707
1606,53.681,909,1013,531
1646,55.018,916,989,530
1651,55.185,927,989,650
1656,55.352,929,986,554
1661,55.519,930,971,823
1721,57.525,928,607,475
1726,57.692,920,549,2735
1731,57.859,922,549,2748
1736,58.026,922,549,2959
1741,58.193,926,559,1979
1746,58.360,920,533,1995
1751,58.528,919,532,1898
1756,58.695,922,540,1981
1761,58.862,922,540,1894
1766,59.029,917,527,2628
1771,59.196,918,534,1947
1776,59.363,915,525,2542
1781,59.530,916,524,2815
1786,59.697,915,524,2847
1791,59.865,917,526,2803
1796,60.032,921,531,2620
1801,60.199,921,531,2625
1806,60.366,918,528,3074
1811,60.533,916,528,3061
1816,60.700,916,528,3081
1821,60.867,918,530,2787
1826,61.034,925,536,1822
1831,61.202,918,499,1567
1836,61.369,926,482,2174
1841,61.536,920,471,1846
1846,61.703,918,477,1334
1851,61.870,917,468,2254
1856,62.037,923,485,1797
1861,62.204,925,479,2180
1866,62.371,926,483,1647
1871,62.539,926,487,1475
1876,62.706,927,487,1581
1881,62.873,925,489,1678
1886,63.040,925,482,2336
1891,63.207,935,502,1754
1896,63.374,936,538,1797
1901,63.541,932,553,1565
1906,63.708,929,558,1631
1911,63.876,929,570,1811
1916,64.043,924,599,543
2036,68.054,909,561,461
2041,68.221,901,562,1077
2046,68.388,916,593,1595
2051,68.555,910,596,1091
2056,68.722,904,592,1140
2061,68.889,891,574,1979
2066,69.056,895,581,2143
2071,69.224,926,623,305
2076,69.391,926,624,373
2081,69.558,925,590,1261
2086,69.725,931,543,1822
2091,69.892,931,519,1848
2096,70.059,934,513,2258
2101,70.226,934,500,2028
2106,70.394,924,476,2919
2111,70.561,931,497,3158
2116,70.728,926,500,2929
2121,70.895,928,491,2481
2126,71.062,928,491,2357
2131,71.229,930,491,2286
2136,71.396,929,495,2200
2141,71.563,929,516,2489
2146,71.731,924,536,2598
2151,71.898,926,540,2160
2156,72.065,922,541,2406
2161,72.232,921,536,2384
2166,72.399,927,549,2749
2171,72.566,929,607,794
2236,74.739,925,616,639
2241,74.906,946,581,1977
2246,75.073,951,579,2152
2251,75.240,952,579,2231
2256,75.407,940,598,1239
2261,75.574,952,589,1060
2266,75.742,978,569,1733
2271,75.909,972,568,1561
2276,76.076,971,568,1443
2281,76.243,989,561,1868
2286,76.410,1020,554,1661
2291,76.577,1073,551,544
2296,76.744,1112,553,452
2391,79.920,1324,536,435
2416,80.755,1109,555,419
2421,80.922,1004,558,1722
2426,81.090,977,565,2077
2431,81.257,963,572,2035
2436,81.424,958,571,1979
2441,81.591,964,569,1869
2446,81.758,972,572,1247
2451,81.925,966,576,758
2456,82.092,969,573,887
2461,82.259,960,574,1468
2466,82.427,939,569,2088
2471,82.594,927,568,1794
2476,82.761,948,580,1297
2481,82.928,953,594,618
2696,90.114,936,621,444
2701,90.282,933,565,1696
2706,90.449,938,527,1388
2711,90.616,936,496,1257
2716,90.783,939,487,1239
2721,90.950,940,485,1547
2726,91.117,932,464,2934
2731,91.284,924,454,3218
2736,91.451,924,458,2643
2741,91.619,922,458,2392
2746,91.786,923,458,2514
2751,91.953,925,457,3183
2756,92.120,929,471,2301
2761,92.287,924,477,2163
2766,92.454,925,478,2098
2771,92.621,925,474,1973
2776,92.788,925,475,1965
2781,92.956,928,473,2362
2786,93.123,941,499,2174
2791,93.290,941,499,2234
2796,93.457,938,494,1972
2801,93.624,943,525,2344
2806,93.791,942,550,1697
2811,93.958,936,555,904
2816,94.125,956,562,1220
2821,94.293,968,560,1239
2826,94.460,967,569,730
2836,94.794,939,554,572
2841,94.961,942,550,1654
2846,95.128,944,552,1799
2851,95.295,954,548,1192
2856,95.462,1010,554,1511
2861,95.630,1086,554,329
2896,96.799,1403,547,354
2921,97.635,1403,541,387
2926,97.802,1409,543,1106
2931,97.969,1441,547,663
2936,98.136,1452,553,659
2941,98.304,1448,551,718
2946,98.471,1429,554,1057
2951,98.638,1391,561,582
2986,99.808,1089,553,653
2991,99.975,1001,558,1893
2996,100.142,975,559,2171
3001,100.309,981,559,1897
3006,100.476,979,559,1907
3011,100.643,976,564,1733
3016,100.810,976,564,1725
3021,100.978,977,561,1474
3026,101.145,967,561,1799
3031,101.312,942,568,1744
