# name: 박재형 김지민
# student_id: 1111
# mouse_id: f4
# video: f4_epm.mp4
frame,timestamp_s,x,y,area
556,18.585,921,321,3646
561,18.752,920,325,3513
566,18.919,920,326,3535
571,19.086,923,323,3518
576,19.253,922,310,3886
581,19.420,914,282,4195
586,19.588,911,254,4660
591,19.755,907,250,4199
596,19.922,906,252,4041
601,20.089,906,253,3957
606,20.256,910,246,4403
611,20.423,918,227,4827
616,20.590,919,228,4799
621,20.758,919,225,4897
626,20.925,919,210,5366
631,21.092,920,180,5093
636,21.259,917,157,5222
641,21.426,923,156,4707
646,21.593,924,159,4458
651,21.760,923,155,4672
656,21.927,917,143,4491
661,22.095,913,138,4561
666,22.262,911,136,4497
671,22.429,917,137,4016
676,22.596,918,115,4145
681,22.763,921,110,4085
686,22.930,922,111,4160
691,23.097,925,114,3585
696,23.264,924,120,3216
701,23.432,925,120,3048
706,23.599,925,123,2669
711,23.766,923,133,1957
716,23.933,921,132,2066
721,24.100,922,153,2159
726,24.267,923,165,3397
731,24.434,924,173,3799
736,24.602,926,200,3662
741,24.769,929,235,3499
746,24.936,934,256,3511
751,25.103,933,256,3460
756,25.270,933,257,3344
761,25.437,932,269,3365
766,25.604,923,296,3445
771,25.771,929,319,3396
776,25.939,929,321,3543
781,26.106,929,318,3237
786,26.273,929,316,3252
791,26.440,929,344,3680
796,26.607,933,390,3475
801,26.774,934,423,3762
806,26.941,936,444,3373
811,27.108,937,447,3431
816,27.276,938,449,3202
821,27.443,938,451,3252
826,27.610,937,452,2793
831,27.777,938,454,2413
836,27.944,937,455,2606
841,28.111,935,453,3190
846,28.278,936,452,2790
851,28.445,935,452,3157
856,28.613,934,469,3331
861,28.780,933,497,3384
866,28.947,932,518,3335
871,29.114,931,525,3252
876,29.281,935,542,2640
881,29.448,928,554,2705
886,29.615,927,560,2513
891,29.783,923,594,2228
896,29.950,926,605,3161
901,30.117,927,618,3260
906,30.284,926,645,3534
911,30.451,931,664,3414
916,30.618,935,659,2249
921,30.785,933,647,2630
926,30.952,934,644,2487
931,31.120,937,648,1885
936,31.287,932,662,2380
941,31.454,926,683,3343
946,31.621,926,711,3337
951,31.788,922,730,2795
956,31.955,923,722,2506
961,32.122,922,717,2352
966,32.289,921,715,2561
