# name: 김선휘
# student_id: 192719
# mouse_id: f5
# video: f5_epm.mp4
frame,timestamp_s,x,y,area
425,14.206,938,589,1630
430,14.373,938,573,2377
435,14.540,939,574,2358
440,14.707,939,591,1495
445,14.874,940,597,1030
450,15.041,956,581,1581
455,15.208,965,574,1375
460,15.376,973,570,1191
465,15.543,978,567,1445
470,15.710,982,559,1390
475,15.877,1024,554,1102
480,16.044,1079,554,1193
485,16.211,1108,554,870
495,16.545,1167,552,662
545,18.217,1294,566,353
555,18.551,1291,555,327
580,19.387,1405,541,329
585,19.554,1400,542,732
590,19.721,1398,542,590
595,19.888,1400,536,622
600,20.055,1409,536,791
605,20.222,1409,541,717
610,20.389,1385,549,571
625,20.891,1371,544,621
630,21.058,1392,548,1151
635,21.225,1422,562,537
640,21.392,1429,565,897
645,21.559,1423,562,877
650,21.726,1422,565,830
655,21.893,1423,564,941
660,22.061,1426,565,1026
665,22.228,1411,555,617
670,22.395,1385,550,730
675,22.562,1369,553,554
680,22.729,1346,555,1061
685,22.896,1330,562,513
690,23.063,1316,557,1201
695,23.231,1306,550,533
700,23.398,1308,550,547
705,23.565,1318,547,467
710,23.732,1331,538,410
715,23.899,1338,540,468
720,24.066,1317,548,432
730,24.400,1287,548,301
735,24.568,1254,550,338
740,24.735,1245,548,366
745,24.902,1245,546,352
750,25.069,1214,548,500
755,25.236,1182,552,724
760,25.403,1178,551,714
765,25.570,1145,552,859
770,25.737,1123,554,863
775,25.905,1125,553,786
780,26.072,1113,551,1162
785,26.239,1109,552,1338
790,26.406,1125,552,745
795,26.573,1123,551,832
800,26.740,1099,555,1364
805,26.907,1096,560,1592
810,27.074,1100,557,1202
815,27.242,1122,554,741
820,27.409,1151,566,305
825,27.576,1153,566,361
830,27.743,1146,561,347
835,27.910,1145,555,666
840,28.077,1168,554,613
845,28.244,1213,552,833
850,28.411,1265,552,819
855,28.579,1307,549,710
860,28.746,1345,547,551
865,28.913,1387,554,1173
870,29.080,1406,549,1363
875,29.247,1415,558,1535
880,29.414,1429,558,1445
885,29.581,1442,558,887
890,29.748,1404,554,862
895,29.916,1367,548,450
900,30.083,1368,547,507
905,30.250,1369,549,527
910,30.417,1387,565,842
915,30.584,1397,554,1191
920,30.751,1395,553,469
925,30.918,1378,546,787
930,31.085,1382,546,514
935,31.253,1376,545,449
940,31.420,1368,546,707
945,31.587,1374,544,508
950,31.754,1367,548,806
955,31.921,1364,546,806
960,32.088,1358,544,728
965,32.255,1364,545,761
970,32.422,1362,546,340
975,32.590,1330,546,462
980,32.757,1315,547,435
985,32.924,1286,550,588
990,33.091,1247,552,611
995,33.258,1215,550,832
1000,33.425,1184,551,771
1005,33.592,1167,548,867
1010,33.759,1168,548,798
1015,33.927,1163,548,1030
1020,34.094,1148,549,1179
1025,34.261,1144,550,1317
1030,34.428,1144,547,1391
1035,34.595,1150,544,1156
1040,34.762,1154,538,673
1045,34.929,1158,537,652
1050,35.096,1157,540,798
1055,35.264,1158,548,993
1060,35.431,1148,549,800
1065,35.598,1124,545,883
1070,35.765,1126,545,841
1075,35.932,1102,548,907
1080,36.099,1083,549,974
1085,36.266,1024,551,1764
1090,36.433,1012,551,1840
1095,36.601,1014,551,1903
1100,36.768,1011,550,2031
1105,36.935,1010,550,2053
1110,37.102,1011,551,2082
1115,37.269,1009,551,2126
1120,37.436,1008,550,2111
1125,37.603,1010,548,2015
1130,37.770,1012,548,1984
1135,37.938,1010,548,2107
1140,38.105,1002,546,2323
1145,38.272,992,543,2664
1150,38.439,976,543,2850
1155,38.606,965,542,2985
1160,38.773,964,541,3125
1165,38.940,966,542,2999
1170,39.107,992,548,2216
1175,39.275,995,549,2095
1180,39.442,1001,551,2056
1185,39.609,1003,552,2074
1190,39.776,1007,552,1964
1195,39.943,1012,552,1791
1200,40.110,1002,554,2066
1205,40.277,983,560,2551
1210,40.444,972,567,2748
1215,40.612,971,567,2604
1220,40.779,972,567,2630
1225,40.946,973,568,2511
1230,41.113,975,570,2701
1235,41.280,970,572,2557
1240,41.447,970,571,2677
1245,41.614,970,571,2537
1250,41.781,966,570,2855
1255,41.949,963,570,2964
1260,42.116,959,570,2892
1265,42.283,956,570,2919
1270,42.450,949,568,2617
1275,42.617,943,564,2901
1280,42.784,933,560,2903
1285,42.951,931,559,2838
1290,43.118,953,558,2704
1295,43.286,957,562,2513
1300,43.453,958,572,2520
1305,43.620,965,561,1653
1310,43.787,966,560,1458
1315,43.954,965,560,1481
1320,44.121,965,560,1398
1325,44.288,966,559,1404
1330,44.456,963,558,1510
1335,44.623,961,562,1635
1340,44.790,965,560,1429
1345,44.957,961,568,1746
1350,45.124,960,568,1778
1355,45.291,959,569,2071
1360,45.458,965,560,1399
1365,45.625,965,562,1378
1370,45.793,960,571,1029
1375,45.960,958,574,922
1380,46.127,962,576,1179
1385,46.294,944,588,2273
1390,46.461,946,584,2365
1395,46.628,944,576,2609
1400,46.795,943,566,2781
1405,46.962,939,559,3107
1410,47.130,942,559,2888
1415,47.297,949,549,2674
1420,47.464,953,542,2712
1425,47.631,960,539,2524
1430,47.798,964,545,2054
1435,47.965,965,545,2052
1440,48.132,965,545,2063
1445,48.299,963,541,2390
1450,48.467,961,540,2552
1455,48.634,960,542,2553
1460,48.801,959,539,2553
1465,48.968,957,530,2948
1470,49.135,954,525,2983
1475,49.302,955,525,3054
1480,49.469,957,535,2829
1485,49.636,953,536,2872
1490,49.804,953,535,2946
1495,49.971,952,543,2980
1500,50.138,948,550,2975
1505,50.305,947,548,3347
1510,50.472,958,544,2655
1515,50.639,959,532,2602
1520,50.806,961,531,2503
1525,50.973,963,537,2234
1530,51.141,965,540,2254
1535,51.308,963,539,2477
1540,51.475,960,536,2667
1545,51.642,958,535,2864
1550,51.809,963,546,2801
1555,51.976,956,551,3116
1560,52.143,954,554,3037
1565,52.310,954,553,3061
1570,52.478,969,555,2483
1575,52.645,972,558,2031
1580,52.812,977,556,1929
1585,52.979,984,553,1864
1590,53.146,1005,547,1824
