# name: 김선휘
# student_id: 192719
# mouse_id: m5
# video: m5_epm.mp4
frame,timestamp_s,x,y,area
249,8.323,1157,553,3474
254,8.490,1181,554,3410
259,8.657,1192,553,2854
264,8.824,1173,554,1944
269,8.991,1179,551,2272
274,9.158,1170,553,3777
279,9.325,1140,547,1899
284,9.493,1140,545,1899
289,9.660,1199,552,2149
294,9.827,1195,553,3114
299,9.994,1227,551,3232
304,10.161,1259,553,3246
309,10.328,1264,551,3005
314,10.495,1272,556,3965
319,10.662,1282,555,3691
324,10.830,1293,554,3025
329,10.997,1293,557,4970
334,11.164,1290,557,6345
339,11.331,1294,551,2424
344,11.498,1296,555,2754
349,11.665,1310,553,4629
354,11.832,1322,554,4564
359,11.999,1349,554,3478
364,12.167,1357,551,3632
369,12.334,1374,552,3469
374,12.501,1391,549,3400
379,12.668,1403,548,3534
384,12.835,1409,547,3555
389,13.002,1395,547,2130
394,13.169,1374,553,1674
399,13.336,1321,561,1627
404,13.504,1315,562,2051
409,13.671,1313,562,2944
414,13.838,1317,561,2885
419,14.005,1317,561,2822
424,14.172,1318,557,3534
429,14.339,1327,560,4116
434,14.506,1292,558,2021
439,14.673,1309,559,2517
444,14.841,1247,559,5141
449,15.008,1191,561,5404
454,15.175,1155,558,4075
459,15.342,1089,559,5634
464,15.509,1045,560,5234
469,15.676,1009,559,5401
474,15.843,982,554,5159
479,16.010,961,556,5777
484,16.178,951,553,6435
489,16.345,945,552,6719
494,16.512,938,553,6980
499,16.679,962,557,5426
504,16.846,963,562,5554
509,17.013,947,568,5714
514,17.180,943,570,6239
519,17.347,948,570,5851
524,17.515,942,577,6690
529,17.682,935,590,7132
534,17.849,935,591,6968
539,18.016,934,591,6992
544,18.183,931,596,7090
549,18.350,930,601,7531
554,18.517,928,605,7611
559,18.684,922,608,7126
564,18.852,923,604,6484
569,19.019,919,595,10144
574,19.186,930,602,4374
579,19.353,933,597,4601
584,19.520,933,596,4613
589,19.687,932,594,4731
594,19.854,932,599,5281
599,20.021,932,618,6025
604,20.189,934,623,5492
609,20.356,932,604,4736
614,20.523,930,596,4744
619,20.690,934,600,3852
624,20.857,926,615,4059
629,21.024,926,612,3922
634,21.191,925,608,3870
639,21.358,918,605,4971
644,21.526,924,609,3860
649,21.693,924,614,4156
654,21.860,924,621,4304
659,22.027,919,627,5225
664,22.194,918,628,5125
669,22.361,920,609,5593
674,22.528,923,601,5591
679,22.695,922,598,4793
684,22.863,922,600,4675
689,23.030,924,603,4058
694,23.197,925,602,4017
699,23.364,923,596,4927
704,23.531,925,594,5106
709,23.698,927,605,7153
714,23.865,932,610,5548
719,24.032,931,605,6325
724,24.200,931,603,6283
729,24.367,928,590,5033
734,24.534,926,591,4969
739,24.701,924,590,5706
744,24.868,928,592,4063
749,25.035,925,594,3953
754,25.202,924,591,3968
759,25.369,926,589,3738
764,25.536,929,593,4014
769,25.704,923,588,5022
774,25.871,926,587,4652
779,26.038,929,582,4730
784,26.205,930,579,4796
789,26.372,945,584,4097
794,26.539,940,584,4837
799,26.706,939,582,4735
804,26.873,944,580,3762
809,27.041,944,578,3774
814,27.208,942,579,3894
819,27.375,931,583,4958
824,27.542,932,585,4972
829,27.709,934,587,4309
834,27.876,931,585,4853
839,28.043,940,584,3978
844,28.210,922,571,5328
849,28.378,917,565,5522
854,28.545,934,562,4050
859,28.712,926,548,4850
864,28.879,924,529,4159
869,29.046,913,520,4988
874,29.213,912,512,4866
879,29.380,913,509,4921
884,29.547,915,512,6619
889,29.715,922,510,5477
894,29.882,924,515,4987
899,30.049,937,525,3409
904,30.216,937,529,3268
909,30.383,924,528,5943
914,30.550,927,532,4621
919,30.717,926,532,5213
924,30.884,929,528,5098
929,31.052,925,518,5713
934,31.219,921,515,5617
939,31.386,919,511,5217
944,31.553,915,508,4977
949,31.720,915,510,4886
954,31.887,916,513,4833
959,32.054,916,514,4757
964,32.221,917,516,4768
969,32.389,920,518,4906
974,32.556,924,515,5027
979,32.723,928,514,3704
984,32.890,929,516,3585
989,33.057,930,514,3633
994,33.224,918,518,5561
999,33.391,919,520,5788
1004,33.558,918,516,5338
1009,33.726,911,515,5458
1014,33.893,911,519,4820
1019,34.060,908,518,4239
1024,34.227,907,516,4099
1029,34.394,907,517,4038
1034,34.561,908,518,4139
1039,34.728,911,528,4309
1044,34.895,914,525,4903
1049,35.063,918,524,4925
1054,35.230,917,528,4888
1059,35.397,911,539,4711
1064,35.564,907,540,4541
1069,35.731,907,537,4436
1074,35.898,907,537,4374
1079,36.065,912,536,3704
1084,36.232,907,537,4277
1089,36.400,910,538,3571
1094,36.567,912,540,3501
1099,36.734,916,542,3494
1104,36.901,914,531,5491
1109,37.068,919,523,5338
1114,37.235,914,538,4927
1119,37.402,918,541,3585
1124,37.569,913,536,3769
1129,37.737,910,535,3499
1134,37.904,909,536,3453
1139,38.071,912,540,3608
1144,38.238,914,540,3777
1149,38.405,913,539,3641
1154,38.572,914,540,3697
1159,38.739,916,543,3661
1164,38.906,925,551,3467
1169,39.074,916,558,5282
1174,39.241,920,564,4344
1179,39.408,904,563,4771
1184,39.575,883,564,5104
1189,39.742,854,565,5126
1194,39.909,812,561,4330
1199,40.076,760,563,4296
1204,40.243,718,561,4209
1209,40.410,673,565,4227
1214,40.578,627,565,4218
1219,40.745,582,567,4170
1224,40.912,537,566,4214
1229,41.079,499,567,4462
1234,41.246,485,568,4647
1239,41.413,487,570,4637
1244,41.580,514,567,3421
1249,41.747,514,566,3571
1254,41.915,506,569,3750
1259,42.082,495,571,3801
1264,42.249,492,568,3667
1269,42.416,479,566,4294
1274,42.583,475,566,4173
1279,42.750,466,563,4220
1284,42.917,466,562,4142
1289,43.084,471,565,4281
1294,43.252,485,572,3637
1299,43.419,471,569,4289
1304,43.586,482,569,4295
1309,43.753,488,573,4193
1314,43.920,505,564,3661
1319,44.087,517,559,3679
1324,44.254,565,559,3868
1329,44.421,620,560,3920
1334,44.589,671,563,3677
1339,44.756,722,563,3693
1344,44.923,738,561,3165
1349,45.090,691,563,12563
1354,45.257,774,558,3606
1359,45.424,825,561,3527
1364,45.591,867,555,3886
1369,45.758,889,555,4081
1374,45.926,893,554,4231
1379,46.093,893,551,4675
1384,46.260,878,555,5582
1389,46.427,890,553,4470
1394,46.594,885,547,5549
1399,46.761,913,527,3876
1404,46.928,918,523,3955
1409,47.095,915,522,4200
1414,47.263,917,527,3625
1419,47.430,917,529,3576
1424,47.597,916,529,3594
1429,47.764,915,525,4164
1434,47.931,914,530,3710
1439,48.098,908,510,5076
1444,48.265,906,495,4840
1449,48.432,906,495,4682
1454,48.600,907,520,3374
1459,48.767,907,530,3387
1464,48.934,911,534,3451
1469,49.101,914,538,3490
1474,49.268,913,542,3411
1479,49.435,911,548,3331
1484,49.602,913,552,3644
1489,49.769,923,556,4079
1494,49.937,923,555,4023
1499,50.104,919,560,3976
1504,50.271,912,574,4834
1509,50.438,917,584,4775
1514,50.605,919,600,5473
1519,50.772,911,599,6435
1524,50.939,913,592,4524
1529,51.106,915,592,4471
1534,51.274,917,589,4015
1539,51.441,915,587,4245
1544,51.608,915,587,4232
1549,51.775,915,587,4312
1554,51.942,915,587,4322
1559,52.109,914,586,4274
1564,52.276,907,586,5086
1569,52.443,910,588,4401
1574,52.611,906,598,4620
1579,52.778,899,596,5421
1584,52.945,908,600,4044
1589,53.112,912,592,3883
1594,53.279,916,594,4459
1599,53.446,921,593,3942
1604,53.613,923,593,3913
1609,53.780,922,593,3898
1614,53.948,915,593,4685
1619,54.115,922,593,3791
1624,54.282,917,590,4212
1629,54.449,915,591,4542
1634,54.616,922,593,3832
1639,54.783,922,593,3822
1644,54.950,919,591,4143
1649,55.117,914,586,4107
1654,55.284,906,576,3208
1659,55.452,915,569,3789
1664,55.619,927,562,4431
1669,55.786,939,558,4853
1674,55.953,952,557,5780
1679,56.120,981,558,4667
1684,56.287,1032,552,4129
1689,56.454,1093,553,3724
1694,56.621,1147,554,3620
1699,56.789,1152,556,10412
1704,56.956,1210,555,9330
1709,57.123,1244,558,9653
1714,57.290,1264,558,10171
1719,57.457,1284,557,9897
1724,57.624,1284,560,9489
1729,57.791,1275,557,8805
1734,57.958,1277,556,9403
1739,58.126,1273,554,9900
1744,58.293,1262,550,10303
1749,58.460,1256,553,9891
1754,58.627,1264,551,10484
1759,58.794,1256,548,11402
1764,58.961,1255,549,11237
1769,59.128,1278,548,10593
1774,59.295,1276,550,10039
1779,59.463,1261,550,9756
1784,59.630,1265,551,8477
1789,59.797,1276,560,4286
1794,59.964,1253,559,5139
1799,60.131,1243,556,8378
1804,60.298,1230,554,8759
1809,60.465,1167,556,10395
1814,60.632,1123,555,3482
1819,60.800,1060,555,3771
1824,60.967,1012,553,4194
1829,61.134,988,553,5384
1834,61.301,969,548,5032
1839,61.468,965,546,4975
1844,61.635,971,548,4570
1849,61.802,980,550,4686
1854,61.969,965,544,5100
1859,62.137,953,541,5860
1864,62.304,943,535,6020
1869,62.471,968,546,4140
1874,62.638,971,549,3952
1879,62.805,962,556,4607
1884,62.972,946,562,5461
1889,63.139,953,565,4597
1894,63.306,950,568,4500
1899,63.474,938,570,5635
1904,63.641,935,570,5607
1909,63.808,935,568,5227
1914,63.975,936,567,5581
1919,64.142,943,565,4660
1924,64.309,928,563,4469
1929,64.476,908,568,4670
1934,64.643,875,568,4518
1939,64.811,816,564,4148
1944,64.978,756,563,4170
1949,65.145,698,567,3929
1954,65.312,649,563,4003
1959,65.479,604,565,4154
1964,65.646,553,564,4157
1969,65.813,513,564,4368
1974,65.980,497,560,4315
1979,66.148,489,566,4360
1984,66.315,478,565,4841
1989,66.482,461,569,4659
1994,66.649,453,571,4492
1999,66.816,440,575,4581
2004,66.983,455,571,4048
2009,67.150,479,568,3853
2014,67.317,495,563,4016
2019,67.485,502,561,4036
2024,67.652,500,564,3255
2029,67.819,457,567,6033
2034,67.986,453,571,6236
2039,68.153,468,563,11850
2044,68.320,464,562,12499
2049,68.487,510,566,2988
2054,68.654,520,566,3317
2059,68.822,545,566,4026
2064,68.989,611,565,3963
2069,69.156,683,562,3829
2074,69.323,742,560,3815
2079,69.490,793,561,3580
2084,69.657,839,560,3877
2089,69.824,870,564,3945
2094,69.991,879,568,4475
2099,70.158,894,573,4246
2104,70.326,896,573,4114
2109,70.493,892,572,3883
2114,70.660,880,566,3301
2119,70.827,890,579,4254
2124,70.994,903,592,4676
2129,71.161,903,591,4672
2134,71.328,904,591,4492
2139,71.495,904,591,4496
2144,71.663,898,589,4401
2149,71.830,899,601,5223
2154,71.997,905,609,5199
2159,72.164,904,598,4246
2164,72.331,900,587,4047
2169,72.498,901,585,4035
2174,72.665,901,584,3919
2179,72.832,899,580,3588
2184,73.000,896,569,3761
2189,73.167,903,556,4254
